trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
106,False,"{'a': 0.5, 'e': 0.4488}",20,0,-86.83984571840234,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.43825000000000003}",20,3,-0.3318562101523117,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.4276}",25,4,-11.36627072406271,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.41684999999999994}",20,10,-15.045902514974877,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.4059999999999999}",30,3,-1.8883522892970481,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.39505}",20,0,-4.262756934876647,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.384}",20,12,14.871783367736736,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.37285}",25,15,18.114087179383496,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3615999999999999}",20,6,-2.840111922175678,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.35024999999999995}",20,5,-60.01147479706172,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
116,False,"{'a': 0.5, 'e': 0.3388}",20,11,-33.600812583341586,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
117,False,"{'a': 0.5, 'e': 0.32724999999999993}",20,8,20.39903359808827,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.3156}",20,0,8.646974752155172,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.30384999999999995}",25,9,16.36387897088212,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.2919999999999999}",20,11,1.7115912135821147,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.2800499999999999}",20,6,0.06013236380134268,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.268}",30,14,-31.67090912202352,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.2558499999999999}",20,0,-28.360270199383635,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.24359999999999993}",20,8,5.596065722286007,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.23124999999999996}",20,0,-66.84277457852994,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
126,False,"{'a': 0.5, 'e': 0.2188}",30,17,16.514708347112048,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.20624999999999993}",25,8,-2.0233166117214827,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.1936}",25,14,6.282029244212535,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.18084999999999996}",25,8,-16.609967370173322,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.16799999999999993}",30,16,13.350186748423994,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.1550499999999999}",20,5,11.066532016480256,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.1419999999999999}",25,0,34.162082858585556,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.1288499999999999}",25,13,21.456290252389053,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.11559999999999993}",25,2,36.070626987316544,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.10224999999999995}",25,15,9.280119682583011,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.08879999999999999}",30,16,26.60306769393618,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.07524999999999993}",25,12,24.290060114695887,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.06159999999999999}",25,17,17.086948252940136,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.04784999999999995}",20,10,12.356066181856631,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,20,9.526313990644141,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,3,32.96193010156905,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,4,38.63317318867214,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,12,35.72583562400376,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,14,19.967374248262562,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,10,20.28724106884806,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,21,19.55111085172122,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,17,22.526660426088686,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,11,16.387940003503335,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
